station_name,model,MAE,RMSE,MAPE,R2
4th St & Madison Dr NW,hist_gradient_boosting,1.7841543168106988,3.034103453208971,73.99576298153538,0.2613411415008813
4th St & Madison Dr NW,xgboost,1.8169060069870706,3.0479149750935313,77.03110808859294,0.25460094731725713
6th & H St NE,ridge,1.6561693203655599,2.3758562755493906,82.18487239012177,0.19084365172008666
6th & H St NE,random_forest,1.4796068632883164,2.164081860148455,74.60876819585512,0.32866469788476504
6th & H St NE,hist_gradient_boosting,1.4436393610927782,2.136852680439675,70.06587106392469,0.3454523324429962
6th & H St NE,xgboost,1.4793887573192752,2.1765430395546757,71.90583388873742,0.32091109557504516
37th & O St NW / Georgetown University,ridge,1.9166316479252463,2.805661623660446,88.75036724497286,0.19559713120021927
37th & O St NW / Georgetown University,random_forest,1.7173215537788575,2.5723556797155185,81.83291540908654,0.3238157297836244
37th & O St NW / Georgetown University,hist_gradient_boosting,1.68513731574878,2.5538261674454583,76.40644322090061,0.3335221932336785
37th & O St NW / Georgetown University,xgboost,1.7287415490580038,2.6016056574232302,78.78730205745254,0.30835066492844654
